"manuscript","place_label","former_owner_name","current_owner_name","begin","end","collection_label","con_label","note","year","century"
"http://ldf.fi/mmm/manifestation_singleton/bibale_11405","Paris","Olivier de L'Empire",NA,"1401-01-01",1500-12-01,"Bibliothèque du chapitre cathédral de Paris (Notre Dame)",NA,"PARIS, Bibliothèque de l'Arsenal, 0622 réserve",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_11408","Paris","Olivier de L'Empire",NA,"1307-12-01",1407-12-01,"Collection de Louis d'Orléans",NA,"Volume de romans acheté par Louis d'Orléans",1407,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_11410","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye des Vaux-de-Cernay",NA,"REIMS, Bibliothèque municipale, 0509 (F. 391)",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_11426","Paris","Collège de Dormans-Beauvais (Paris)",NA,"1051-01-01",1150-12-01,"Burgerbibliothek Bern",NA,"BERN, Burgerbibliothek, Cod. 436",1150,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_11428","Paris","Collège de Dormans-Beauvais (Paris)",NA,"1391-01-01",1392-12-01,"Bibliothèque du collège de Dormans-Beauvais",NA,"Paris, Bibliothèque nationale de France, Manuscrits, lat. 16134",1392,14
"http://ldf.fi/mmm/manifestation_singleton/bibale_11452","Reims","Hincmar, Archbishop of Reims, approximately 806-882",NA,"0800-01-01",800-12-01,"Bibliothèque de Saint-Rémi de Reims",NA,"Reims, Saint-Rémi, abbaye O.S.B. (Manuscrit de Zénon donné par Hincmar)",800,8
"http://ldf.fi/mmm/manifestation_singleton/bibale_11477","Paris","Machaut (Louis de)(fl. 1655)",NA,"0901-01-01",1000-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 12202",1000,10
"http://ldf.fi/mmm/manifestation_singleton/bibale_11489","London","Louis de Chantemerle (1397?-1465)",NA,"1438-01-01",1438-02-01,"Bibliothèque de la famille Chantemerle","Parchment","PRINCETON, Princeton University Library, Firestone Library, 0101",1438,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_12953","Bordeaux","Bordeaux, Saint-Seurin",NA,"1150-01-01",1150-12-01,"Bibliothèque de la cathédrale Saint-André de Bordeaux",NA,"Vente, New York, Christie's, 2006, 27 juin, no. 089",1150,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_13025","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1201-01-01",1300-12-01,"Bibliothèque de Gilles de Rome",NA,"REIMS, Bibliothèque municipale, 0863 (I. 656)",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13028","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1201-01-01",1300-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 1096 (J. 722)",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13029","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1201-01-01",1300-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 1259 (J. 735)",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13031","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1201-01-01",1300-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 1260 (J. 736)",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13032","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1201-01-01",1300-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 1261 (J. 737)",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13037","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1201-01-01",1300-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 1267 (J. 744)",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13038","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1201-01-01",1300-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 1266 (J. 739)",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13073","Autun","Jean II Rolin",NA,"1401-01-01",1500-12-01,"Bibliothèque de la cathédrale Saint-Nazaire d'Autun",NA,"AUTUN, Bibliothèque municipale, 108 (S 130)",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13074","Autun","Jean II Rolin",NA,"1401-01-01",1500-12-01,"Bibliothèque de la cathédrale Saint-Nazaire d'Autun",NA,"AUTUN, Bibliothèque municipale, 108 A (S 131)",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13075","Autun","Jean II Rolin",NA,"1401-01-01",1500-12-01,"Bibliothèque de la cathédrale Saint-Nazaire d'Autun",NA,"AUTUN, Bibliothèque municipale, 109 (S 132)",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13076","Autun","Jean II Rolin",NA,"1401-01-01",1500-12-01,"Bibliothèque de la cathédrale Saint-Nazaire d'Autun",NA,"AUTUN, Bibliothèque municipale, 110 (S 133)",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13088","Autun","Jean II Rolin",NA,"1401-01-01",1500-12-01,"Bibliothèque de la cathédrale Saint-Nazaire d'Autun",NA,"AUTUN, Bibliothèque municipale, 113 (S 134)",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13131","Paris","Artis (Jean d')",NA,"1401-01-01",1500-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 17231",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13152","Paris","Artis (Jean d')",NA,"1401-01-01",1500-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19138",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13154","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19502",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13155","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19503",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13156","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19504",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13157","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19505",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13158","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19506",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13159","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19507",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13160","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19508",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13161","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19509",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13162","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19510",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13163","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19511",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13164","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19512",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13165","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19513",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13166","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19514",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13167","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19515",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13168","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19516",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13169","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19517",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13170","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19518",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13171","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19519",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13172","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19520",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13173","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19521",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13174","Paris","Frémont d'Auneuil (Nicolas de)(1709-1769)",NA,"1598-01-10",1698-01-10,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Bibliothèque nationale de France, Manuscrits, fr. 19522",1698,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13184","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"1401-01-01",1500-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 01211",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13185","Paris","Fouquet, Nicolas (1615-1680)",NA,"1601-01-01",1630-12-01,"Collection de Bénigne Le Ragois de Bretonvilliers",NA,"Paris, Bibliothèque nationale de France, Manuscrits, lat. 09069",1630,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_13191","Paris","Maison professe des Jésuites (Maison professe Saint-Louis, Paris)",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11513",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13192","Paris","Maison professe des Jésuites (Maison professe Saint-Louis, Paris)",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11512",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13193","Paris","Maison professe des Jésuites (Maison professe Saint-Louis, Paris)",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11511",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13195","Paris","Joly, Claude (1607-1700)",NA,"0701-01-01",800-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 11529",800,8
"http://ldf.fi/mmm/manifestation_singleton/bibale_13196","Paris","Joly, Claude (1607-1700)",NA,"0701-01-01",800-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 11530",800,8
"http://ldf.fi/mmm/manifestation_singleton/bibale_13209","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"1101-01-01",1200-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11565",1200,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_13210","Paris","Corbie, Benedictine abbey",NA,"1164-01-01",1164-12-01,"Bibliothèque de l'abbaye de Corbie","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 11575",1164,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_13211","Paris","Corbie, Benedictine abbey",NA,"1164-01-01",1164-12-01,"Bibliothèque de l'abbaye de Corbie","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11576",1164,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_13215","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"1101-01-01",1200-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11690",1200,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_13218","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 11705",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13223","Paris","Saint-Maur-des-Fossés, abbaye",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11715",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13224","Rome","Michel de Rezano",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"PARIS, Bibliothèque nationale de France, Manuscrits, lat. 11721, 3-14",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_13226","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"1401-01-01",1500-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Paper","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11729",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13227","Corbie","Corbie, Benedictine abbey",NA,"1313-12-01",1413-12-01,"Bibliothèque de l'abbaye de Corbie","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 11730",1413,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_13254","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"1101-01-01",1200-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 11615",1200,12
